Id;Species;Accession Name;Origine Continent;Type (Wild/Cultivated);Sowing_Localisation;Replicate_nb (1/2);Plant_nb (1 to 3);Panicle_nb (1 to 3);Rachis_length (RL in cm);Primary Branch Number (PBN);Average of Primary Branch length in cm (PBL);Average of Internode along Primary Branch in cm (PBIL);Secondary Branch Number (SBN);Average of Secondary Branch length in cm (SBL);Average of Internode along secondary Branch in cm  (SBIL);Tertiary Branch Number (TBN);Spikelet Number (SpN)
Ob13;Ob;B73;Africa;Wild;Cali-Colombia;2;1;1;7.35;5;6.55;1.84;1;2.5;1.29;0;32
Ob13;Ob;B73;Africa;Wild;Cali-Colombia;2;1;2;6.49;4;7.88;2.17;2;2.79;1.09;0;29
Ob13;Ob;B73;Africa;Wild;Cali-Colombia;2;1;3;5.08;4;8.89;1.69;5;2.63;1.11;0;37
Ob14;Ob;B80;Africa;Wild;Cali-Colombia;1;1;1;8.28;5;11.24;2.07;10;2.59;0.69;0;60
Ob14;Ob;B80;Africa;Wild;Cali-Colombia;1;1;2;8.45;6;9.56;1.69;10;2.19;0.64;0;66
Ob14;Ob;B80;Africa;Wild;Cali-Colombia;1;1;3;9.26;6;8.41;1.85;4;1.95;1.16;0;55
Ob14;Ob;B80;Africa;Wild;Cali-Colombia;1;2;1;5.77;5;7.7;1.44;4;1.85;1.12;0;44
Ob14;Ob;B80;Africa;Wild;Cali-Colombia;1;2;2;7.11;5;8.22;1.78;4;2.17;0.97;0;45
Ob14;Ob;B80;Africa;Wild;Cali-Colombia;1;2;3;8.09;6;9.54;1.62;10;2.11;0.86;0;67
Ob16;Ob;B95;Africa;Wild;Cali-Colombia;1;1;1;14.11;7;10.98;2.35;5;2.64;2.29;0;51
Ob16;Ob;B95;Africa;Wild;Cali-Colombia;1;1;2;14.25;7;10.54;2.37;7;2.36;1.55;0;64
Ob16;Ob;B95;Africa;Wild;Cali-Colombia;1;1;3;12.08;6;12.02;2.42;9;2.58;1.34;0;63
Ob16;Ob;B95;Africa;Wild;Cali-Colombia;2;1;1;11.7;8;9.37;1.67;9;2.29;1.24;0;71
Ob16;Ob;B95;Africa;Wild;Cali-Colombia;2;1;2;9.43;6;10.75;1.88;9;1.79;1.13;0;68
Ob16;Ob;B95;Africa;Wild;Cali-Colombia;2;1;3;12.4;7;10.01;2.07;9;2.23;1.35;0;71
Ob16;Ob;B95;Africa;Wild;Cali-Colombia;2;2;1;12.28;7;9.59;2.05;7;2.15;1.38;0;62
Ob16;Ob;B95;Africa;Wild;Cali-Colombia;2;2;2;11.98;7;10.37;2;10;2.2;1.1;0;75
Ob16;Ob;B95;Africa;Wild;Cali-Colombia;2;2;3;13.03;8;9.98;1.86;8;2.24;1.35;0;80
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;1;1;1;10.95;8;10.06;1.56;6;2.49;1.13;0;69
